Symbol,Company Name
ASTRAMICRO,Astra Microwave Products Limited
NXTDIGITAL,NXTDIGITAL LIMITED
SEAMECLTD,Seamec Limited
VOLTAMP,Voltamp Transformers Limited
LUMAXTECH,Lumax Auto Technologies Limited
BODALCHEM,Bodal Chemicals Limited
PANACEABIO,Panacea Biotec Limited
MOLDTKPAC,Mold-Tek Packaging Limited
SSWL,Steel Strips Wheels Limited
WHEELS,Wheels India Limited

SHALBY,Shalby Limited
WONDERLA,Wonderla Holidays Limited
JETAIRWAYS,Jet Airways (India) Limited
ELECTCAST,Electrosteel Castings Limited
GOCLCORP,GOCL Corporation Limited
KCP,KCP Limited
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
SADBHAV,Sadbhav Engineering Limited
KKCL,Kewal Kiran Clothing Limited
SANGHIIND,Sanghi Industries Limited
YAARII,Yaarii Digital Integrated Services Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
EXCELINDUS,Excel Industries Limited
NRBBEARING,NRB Bearing Limited
SMSPHARMA,SMS Pharmaceuticals Limited
OPTIEMUS,Optiemus Infracom Limited
DREDGECORP,Dredging Corporation of India Limited
BFINVEST,BF Investment Limited
MANINFRA,Man Infraconstruction Limited
GALLISPAT,Gallantt Ispat Limited
SESHAPAPER,Seshasayee Paper and Boards Limited
MANALIPETC,Manali Petrochemicals Limited
BLISSGVS,Bliss GVS Pharma Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
USHAMART,Usha Martin Limited
INDORAMA,Indo Rama Synthetics (India) Limited
BANCOINDIA,Banco Products (I) Limited
KESORAMIND,Kesoram Industries Limited
GTLINFRA,GTL Infrastructure Limited
HSIL,HSIL Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
FLFL,Future Lifestyle Fashions Limited
INSECTICID,Insecticides (India) Limited
SHANTIGEAR,Shanthi Gears Limited
FAIRCHEMOR,Fairchem Organics Limited
ESTER,Ester Industries Limited
VINDHYATEL,Vindhya Telelinks Limited
HONDAPOWER,Honda India Power Products Limited
JINDWORLD,Jindal Worldwide Limited
TIIL,Technocraft Industries (India) Limited

LGBBROSLTD,LG Balakrishnan & Bros Limited
SHAKTIPUMP,Shakti Pumps (India) Limited
BLS,BLS International Services Limited
SHANKARA,Shankara Building Products Limited
PRABHAT,Prabhat Dairy Limited
APCOTEXIND,Apcotex Industries Limited
BFUTILITIE,BF Utilities Limited
HBLPOWER,HBL Power Systems Limited
RELINFRA,Reliance Infrastructure Limited
ONMOBILE,OnMobile Global Limited
OCCL,Oriental Carbon & Chemicals Limited
GLOBUSSPR,Globus Spirits Limited
JISLJALEQS,Jain Irrigation Systems Limited
ASHAPURMIN,Ashapura Minechem Limited
SUVEN,Suven Life Sciences Limited
RPSGVENT,RPSG VENTURES LIMITED
TEXINFRA,Texmaco Infrastructure & Holdings Limited
GUFICBIO,Gufic Biosciences Limited
PARAGMILK,Parag Milk Foods Limited
CIGNITITEC,Cigniti Technologies Limited
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
EKC,Everest Kanto Cylinder Limited
PANAMAPET,Panama Petrochem Limited
TIRUMALCHM,Thirumalai Chemicals Limited
SIYSIL,Siyaram Silk Mills Limited
ANDHRAPAP,ANDHRA PAPER LIMITED
PNBGILTS,PNB Gilts Limited
ARSHIYA,Arshiya Limited
SIRCA,Sirca Paints India Limited
POWERMECH,Power Mech Projects Limited
CLNINDIA,Clariant Chemicals (India) Limited
IGARASHI,Igarashi Motors India Limited
TARC,Anant Raj Global Limited
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
PRICOLLTD,Pricol Limited
IMPAL,India Motor Parts and Accessories Limited
RANEHOLDIN,Rane Holdings Limited
SHAREINDIA,Share India Securities Limited
MPSLTD,MPS Limited
INDNIPPON,India Nippon Electricals Limited

INDIANHUME,Indian Hume Pipe Company Limited
MAXVIL,Max Ventures and Industries Limited
ACRYSIL,Acrysil Limited
POKARNA,Pokarna Limited
SATIA,Satia Industries Limited
RADIOCITY,Music Broadcast Limited
MARINE,Marine Electricals (India) Limited
SRIPIPES,Srikalahasthi Pipes Limited
THANGAMAYL,Thangamayil Jewellery Limited
GFLLIMITED,GFL Limited
RAJRATAN,Rajratan Global Wire Limited
PGEL,PG Electroplast Limited
ANDHRSUGAR,The Andhra Sugars Limited
VISAKAIND,Visaka Industries Limited
SMCGLOBAL,SMC Global Securities Limited
NCLIND,NCL Industries Limited
GMBREW,GM Breweries Limited
ASALCBR,Associated Alcohols & Breweries Ltd.
APTECHT,Aptech Limited
GOLDIAM,Goldiam International Limited
EMAMIPAP,Emami Paper Mills Limited
MANGLMCEM,Mangalam Cement Limited
KARDA,Karda Constructions Limited
NACLIND,NACL Industries Limited
SNOWMAN,Snowman Logistics Limited
FIEMIND,Fiem Industries Limited
GNA,GNA Axles Limited
FOSECOIND,Foseco India Limited
FCL,Fineotex Chemical Limited
XCHANGING,Xchanging Solutions Limited
TEXRAIL,Texmaco Rail & Engineering Limited
EIHAHOTELS,EIH Associated Hotels Limited
ELECON,Elecon Engineering Company Limited
KINGFA,Kingfa Science & Technology (India) Limited
AARTISURF,Aarti Surfactants Limited
RTNINFRA,RattanIndia Infrastructure Limited
STERTOOLS,Sterling Tools Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
TTKHLTCARE,TTK Healthcare Limited
KELLTONTEC,Kellton Tech Solutions Limited

ENIL,Entertainment Network (India) Limited
SADBHIN,Sadbhav Infrastructure Project Limited
BHAGERIA,Bhageria Industries Limited
KICL,Kalyani Investment Company Limited
AVTNPL,AVT Natural Products Limited
TAJGVK,Taj GVK Hotels & Resorts Limited
AWHCL,Antony Waste Handling Cell Limited
DCW,DCW Limited
DATAMATICS,Datamatics Global Services Limited
JAYNECOIND,Jayaswal Neco Industries Limited
TAKE,Take Solutions Limited
KITEX,Kitex Garments Limited
SMLISUZU,SML Isuzu Limited
APEX,Apex Frozen Foods Limited
VADILALIND,Vadilal Industries Limited
SUTLEJTEX,Sutlej Textiles and Industries Limited
RPGLIFE,RPG Life Sciences Limited
5PAISA,5Paisa Capital Limited
SPENCERS,Spencer's Retail Limited
BBL,Bharat Bijlee Limited
WENDT,Wendt (India) Limited
LIKHITHA,Likhitha Infrastructure Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
GICHSGFIN,GIC Housing Finance Limited
SKIPPER,Skipper Limited
GRAVITA,Gravita India Limited
RBL,Rane Brake Lining Limited
CANTABIL,Cantabil Retail India Limited
ZENTEC,Zen Technologies Limited
TIPSINDLTD,TIPS Industries Limited
MUTHOOTCAP,Muthoot Capital Services Limited
NURECA,Nureca Limited
DYNAMATECH,Dynamatic Technologies Limited
PLASTIBLEN,Plastiblends India Limited
SPIC,Southern Petrochemicals Industries Corporation Limited
UNIENTER,Uniphos Enterprises Limited
DYNPRO,Dynemic Products Limited
ALICON,Alicon Castalloy Limited
KUANTUM,Kuantum Papers Limited
DBREALTY,D B Realty Limited

SUMMITSEC,Summit Securities Limited
ANUP,The Anup Engineering Limited
DECCANCE,Deccan Cements Limited
DWARKESH,Dwarikesh Sugar Industries Limited
BALAJITELE,Balaji Telefilms Limited
HARITASEAT,Harita Seating Systems Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
KABRAEXTRU,Kabra Extrusion Technik Limited
VSSL,Vardhman Special Steels Limited
VHL,Vardhman Holdings Limited
NELCAST,Nelcast Limited
MUNJALSHOW,Munjal Showa Limited
RGL,Renaissance Global Limited
CENTENKA,Century Enka Limited
KOKUYOCMLN,Kokuyo Camlin Limited
RIIL,Reliance Industrial Infrastructure Limited
MIRZAINT,Mirza International Limited
PATELENG,Patel Engineering Limited
NSIL,Nalwa Sons Investments Limited
EXPLEOSOL,Expleo Solutions Limited
MUNJALAU,Munjal Auto Industries Limited
RAMKY,Ramky Infrastructure Limited
APCL,Anjani Portland Cement Limited
UNIDT,United Drilling Tools Limited
TWL,Titagarh Wagons Limited
GAYAPROJ,Gayatri Projects Limited
EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED
SHALPAINTS,Shalimar Paints Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
ORIENTPPR,Orient Paper & Industries Limited
ARMANFIN,Arman Financial Services Limited
RML,Rane (Madras) Limited
AMBIKCO,Ambika Cotton Mills Limited
SALASAR,Salasar Techno Engineering Limited
TFCILTD,Tourism Finance Corporation of India Limited
JAYBARMARU,Jay Bharat Maruti Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
DHFL,Dewan Housing Finance Corporation Limited
SANDESH,The Sandesh Limited
CENTUM,Centum Electronics Limited

SUULD,Suumaya Industries Limited
HTMEDIA,HT Media Limited
ALLSEC,Allsec Technologies Limited
NBIFIN,N. B. I. Industrial Finance Company Limited
RICOAUTO,Rico Auto Industries Limited
STEELXIND,STEEL EXCHANGE INDIA LIMITED
THEINVEST,The Investment Trust Of India Limited
RCOM,Reliance Communications Limited
MONTECARLO,Monte Carlo Fashions Limited
NAVKARCORP,Navkar Corporation Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
TDPOWERSYS,TD Power Systems Limited
MANINDS,Man Industries (India) Limited
KOPRAN,Kopran Limited
NITINSPIN,Nitin Spinners Limited
LINCOLN,Lincoln Pharmaceuticals Limited
EVERESTIND,Everest Industries Limited
PRECWIRE,Precision Wires India Limited
SATIN,Satin Creditcare Network Limited
STCINDIA,The State Trading Corporation of India Limited
ASIANTILES,Asian Granito India Limited
VISHWARAJ,Vishwaraj Sugar Industries Limited
HMVL,Hindustan Media Ventures Limited
RSWM,RSWM Limited
TNPETRO,Tamilnadu PetroProducts Limited
UNIVCABLES,Universal Cables Limited
SANGHVIMOV,Sanghvi Movers Limited
SORILINFRA,SORIL Infra Resources Limited
HITECH,Hi-Tech Pipes Limited
GULPOLY,Gulshan Polyols Limited
UNITECH,Unitech Limited
NELCO,NELCO Limited
V2RETAIL,V2 Retail Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
REPRO,Repro India Limited
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
BCG,Brightcom Group Limited
AJMERA,Ajmera Realty & Infra India Limited
NECLIFE,Nectar Lifesciences Limited
BLKASHYAP,B. L. Kashyap and Sons Limited

RUSHIL,Rushil Decor Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
THEJO,Thejo Engineering Limited
HEXATRADEX,Hexa Tradex Limited
JAYAGROGN,Jayant Agro Organics Limited
ADORWELD,Ador Welding Limited
PILITA,PIL ITALICA LIFESTYLE LIMITED
MADRASFERT,Madras Fertilizers Limited
ORIENTHOT,Oriental Hotels Limited
TCPLPACK,TCPL Packaging Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
JAIBALAJI,Jai Balaji Industries Limited
NRAIL,N R Agarwal Industries Limited
KANORICHEM,Kanoria Chemicals & Industries Limited
MAHEPC,Mahindra EPC Irrigation Limited
CONTROLPR,Control Print Limited
SPAL,S. P. Apparels Limited
ATULAUTO,Atul Auto Limited
HINDCOMPOS,Hindustan Composites Limited
SHRIRAMEPC,Shriram EPC Limited
KAYA,Kaya Limited
ROSSELLIND,Rossell India Limited
ZUARI,Zuari Agro Chemicals Limited
ASAHISONG,Asahi Songwon Colors Limited
IFBAGRO,IFB Agro Industries Limited
SAKSOFT,Saksoft Limited
PRECAM,Precision Camshafts Limited
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
NAHARSPING,Nahar Spinning Mills Limited
KAMDHENU,Kamdhenu Limited
DHANBANK,Dhanlaxmi Bank Limited
DLINKINDIA,D-Link (India) Limited
PARSVNATH,Parsvnath Developers Limited
SCHAND,S Chand And Company Limited
PGIL,Pearl Global Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
SASTASUNDR,Sastasundar Ventures Limited
TI,Tilaknagar Industries Limited
NDTV,New Delhi Television Limited
HLVLTD,HLV LIMITED

FEL,Future Enterprises Limited
DICIND,DIC India Limited
JASH,Jash Engineering Limited
VIMTALABS,Vimta Labs Limited
HERCULES,Hercules Hoists Limited
XELPMOC,Xelpmoc Design And Tech Limited
AKASH,Akash Infra-Projects Limited
GALLANTT,Gallantt Metal Limited
VIPULLTD,Vipul Limited
REPL,Rudrabhishek Enterprises Limited
SREEL,Sreeleathers Limited
GANDHITUBE,Gandhi Special Tubes Limited
INFOBEAN,InfoBeans Technologies Limited
UTTAMSUGAR,Uttam Sugar Mills Limited
DVL,Dhunseri Ventures Limited
MAXIND,Max India Limited
ARVSMART,Arvind SmartSpaces Limited
ZOTA,Zota Health Care LImited
VENUSREM,Venus Remedies Limited
VISHNU,Vishnu Chemicals Limited
ZEELEARN,Zee Learn Limited
GOKEX,Gokaldas Exports Limited
KDDL,KDDL Limited
CYBERTECH,Cybertech Systems And Software Limited
URJA,Urja Global Limited
MANAKSIA,Manaksia Limited
VASCONEQ,Vascon Engineers Limited
BAFNAPH,Bafna Pharmaceuticals Limited
BIRLATYRE,Birla Tyres Limited
VERTOZ,Vertoz Advertising Limited
GENESYS,Genesys International Corporation Limited
HITECHGEAR,The Hi-Tech Gears Limited
SANGAMIND,Sangam (India) Limited
63MOONS,63 moons technologies limited
VLSFINANCE,VLS Finance Limited
BGRENERGY,BGR Energy Systems Limited
AURIONPRO,Aurionpro Solutions Limited
HPL,HPL Electric & Power Limited
UCALFUEL,Ucal Fuel Systems Limited
MIRCELECTR,MIRC Electronics Limited

SWELECTES,Swelect Energy Systems Limited
PPL,Prakash Pipes Limited
ASHIMASYN,Ashima Limited
ZEEMEDIA,Zee Media Corporation Limited
MENONBE,Menon Bearings Limited
GKWLIMITED,GKW Limited
VARDHACRLC,Vardhman Acrylics Limited
ORIENTBELL,Orient Bell Limited
GSCLCEMENT,Gujarat Sidhee Cement Limited
HCL-INSYS,HCL Infosystems Limited
ARTEMISMED,Artemis Medicare Services Limited
MEP,MEP Infrastructure Developers Limited
HINDNATGLS,Hindusthan National Glass & Industries Limited
MARATHON,Marathon Nextgen Realty Limited
MSPL,MSP Steel & Power Limited
ORICONENT,Oricon Enterprises Limited
JUBLINDS,Jubilant Industries Limited
CUPID,Cupid Limited
FSC,Future Supply Chain Solutions Limited
PPAP,PPAP Automotive Limited
RUBYMILLS,The Ruby Mills Limited
GANESHHOUC,Ganesh Housing Corporation Limited
NAHARPOLY,Nahar Poly Films Limited
RELCAPITAL,Reliance Capital Limited
GOKULAGRO,Gokul Agro Resources Limited
NIPPOBATRY,Indo-National Limited
KHADIM,Khadim India Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
AHLWEST,Asian Hotels (West) Limited
DPABHUSHAN,D. P. Abhushan Limited
JINDRILL,Jindal Drilling And Industries Limited
BCLIND,Bcl Industries Limited
THEMISMED,Themis Medicare Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
HARRMALAYA,Harrisons Malayalam Limited
PTL,PTL Enterprises Limited
CHEMBOND,Chembond Chemicals Ltd
PROZONINTU,Prozone Intu Properties Limited
SREINFRA,SREI Infrastructure Finance Limited
GOACARBON,Goa Carbon Limited

TALBROAUTO,Talbros Automotive Components Limited
ORIENTABRA,Orient Abrasives Limited
INVENTURE,Inventure Growth & Securities Limited
RAMANEWS,Shree Rama Newsprint Limited
MCL,Madhav Copper Limited
LASA,Lasa Supergenerics Limited
CREST,Crest Ventures Limited
BRNL,Bharat Road Network Limited
EROSMEDIA,Eros International Media Limited
MODIRUBBER,Modi Rubber Limited
WALCHANNAG,Walchandnagar Industries Limited
TVSELECT,TVS Electronics Limited
CAREERP,Career Point Limited
ZUARIGLOB,Zuari Global Limited
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED
KRISHANA,Krishana Phoschem Limited
AYMSYNTEX,AYM Syntex Limited
PENIND,Pennar Industries Limited
BIRLAMONEY,Aditya Birla Money Limited
PDMJEPAPER,Pudumjee Paper Products Limited
KOTARISUG,Kothari Sugars And Chemicals Limited
ALANKIT,Alankit Limited
PENINLAND,Peninsula Land Limited
GIRRESORTS,GIR Natureview Resorts Limited
HDIL,Housing Development and Infrastructure Limited
LINCPEN,Linc Pen & Plastics Limited
JPINFRATEC,Jaypee Infratech Limited
VETO,Veto Switchgears And Cables Limited
MAHESHWARI,Maheshwari Logistics Limited
ADSL,Allied Digital Services Limited
RNAVAL,Reliance Naval and Engineering Limited
TRIL,Transformers And Rectifiers (India) Limited
OMINFRAL,OM INFRA LIMITED
LIBERTSHOE,Liberty Shoes Limited
MMP,MMP Industries Limited
MBAPL,Madhya Bharat Agro Products Limited
ALBERTDAVD,Albert David Limited
BRFL,Bombay Rayon Fashions Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
PITTIENG,Pitti Engineering Limited

KHAICHEM,Khaitan Chemicals & Fertilizers Limited
HITECHCORP,Hitech Corporation Limited
GEECEE,GeeCee Ventures Limited
SDBL,Som Distilleries & Breweries Limited
SPTL,Sintex Plastics Technology Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
ZODIACLOTH,Zodiac Clothing Company Limited
MBLINFRA,MBL Infrastructures Limited
BIL,Bhartiya International Limited
KANPRPLA,Kanpur Plastipack Limited
SILINV,SIL Investments Limited
WANBURY,Wanbury Limited
SINTERCOM,Sintercom India Limited
SELAN,Selan Exploration Technology Limited
SARLAPOLY,Sarla Performance Fibers Limited
SINTEX,Sintex Industries Limited
PODDARMENT,Poddar Pigments Limited
MCLEODRUSS,Mcleod Russel India Limited
WINDMACHIN,Windsor Machines Limited
UFO,UFO Moviez India Limited
HIRECT,Hind Rectifiers Limited
REFEX,Refex Industries Limited
SALZERELEC,Salzer Electronics Limited
VIKASMCORP,Vikas Multicorp Limited
UGARSUGAR,The Ugar Sugar Works Limited
AIRAN,Airan Limited
EIMCOELECO,Eimco Elecon (India) Limited
BASML,Bannari Amman Spinning Mills Limited
EIFFL,Euro India Fresh Foods Limited
JAYSREETEA,Jayshree Tea & Industries Limited
ASTRON,Astron Paper & Board Mill Limited
TRIGYN,Trigyn Technologies Limited
AKSHARCHEM,AksharChem India Limited
APOLLO,Apollo Micro Systems Limited
KOTHARIPRO,Kothari Products Limited
MAJESCO,Majesco Limited
STARPAPER,Star Paper Mills Limited
SETCO,Setco Automotive Limited
ONWARDTEC,Onward Technologies Limited
GENCON,Generic Engineering Construction and Projects Limited

CONSOFINVT,Consolidated Finvest & Holdings Limited
GULFPETRO,GP Petroleums Limited
SHIVATEX,Shiva Texyarn Limited
GENUSPAPER,Genus Paper & Boards Limited
AHLEAST,Asian Hotels (East) Limited
BIRLACABLE,Birla Cable Limited
MAZDA,Mazda Limited
DTIL,Dhunseri Tea & Industries Limited
SHIVAMAUTO,Shivam Autotech Limited
GOKUL,Gokul Refoils and Solvent Limited
SPECIALITY,Speciality Restaurants Limited
CHEMFAB,Chemfab Alkalis Limited
INSPIRISYS,Inspirisys Solutions Limited
SHEMAROO,Shemaroo Entertainment Limited
SAKAR,Sakar Healthcare Limited
RANEENGINE,Rane Engine Valve Limited
NAHARINDUS,Nahar Industrial Enterprises Limited
NAHARCAP,Nahar Capital and Financial Services Limited
SIMPLEXINF,Simplex Infrastructures Limited
UNIVPHOTO,Universus Photo Imagings Limited
ROHLTD,Royal Orchid Hotels Limited
ABAN,Aban Offshore Limited
BANSWRAS,Banswara Syntex Limited
NILAINFRA,Nila Infrastructures Limited
KREBSBIO,Krebs Biochemicals and Industries Limited
KCPSUGIND,KCP Sugar and Industries Corporation Limited
RAJTV,Raj Television Network Limited
NIRAJ,Niraj Cement Structurals Limited
PREMEXPLN,Premier Explosives Limited
AGARIND,Agarwal Industrial Corporation Limited
DHUNINV,Dhunseri Investments Limited
BBTCL,B&B Triplewall Containers Limited
ESSARSHPNG,Essar Shipping Limited
EMKAY,Emkay Global Financial Services Limited
DCMNVL,DCM Nouvelle Limited
MANGALAM,Mangalam Drugs And Organics Limited
ANDHRACEMT,Andhra Cements Limited
ISMTLTD,ISMT Limited
GREENPOWER,Orient Green Power Company Limited
ORBTEXP,Orbit Exports Limited

BIGBLOC,Bigbloc Construction Limited
SHREYAS,Shreyas Shipping & Logistics Limited
MANAKSTEEL,Manaksia Steels Limited
DONEAR,Donear Industries Limited
CAPTRUST,Capital Trust Limited
BHARATWIRE,Bharat Wire Ropes Limited
KOTHARIPET,Kothari Petrochemicals Limited
3RDROCK,3rd Rock Multimedia Limited
GOODLUCK,Goodluck India Limited
TIL,TIL Limited
WELINV,Welspun Investments and Commercials Limited
BROOKS,Brooks Laboratories Limited
STEL,Stel Holdings Limited
NDL,Nandan Denim Limited
PARACABLES,Paramount Communications Limited
RUCHIRA,Ruchira Papers Limited
AXISCADES,AXISCADES Technologies Limited
ASPINWALL,Aspinwall and Company Limited
SOUTHWEST,South West Pinnacle Exploration Limited
UNITEDTEA,The United Nilgiri Tea Estates Company Limited
SMSLIFE,SMS Lifesciences India Limited
EMMBI,Emmbi Industries Limited
RANASUG,Rana Sugars Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
BSHSL,Bombay Super Hybrid Seeds Limited
ARIHANTSUP,Arihant Superstructures Limited
IRISDOREME,Iris Clothings Limited
DPWIRES,D P Wires Limited
REVATHI,Revathi Equipment Limited
RKEC,RKEC Projects Limited
PIONDIST,Pioneer Distilleries Limited
MAGADSUGAR,Magadh Sugar & Energy Limited
ELECTHERM,Electrotherm (India) Limited
SHREYANIND,Shreyans Industries Limited
MAWANASUG,Mawana Sugars Limited
BHAGYANGR,Bhagyanagar India Limited
HINDMOTORS,Hindustan Motors Limited
NITCO,Nitco Limited
SUNDRMBRAK,Sundaram Brake Linings Limited
GINNIFILA,Ginni Filaments Limited

VIDEOIND,Videocon Industries Limited
OSWALAGRO,Oswal Agro Mills Limited
CEBBCO,Commercial Engineers & Body Builders Co Limited
BALLARPUR,Ballarpur Industries Limited
SUPERHOUSE,Superhouse Limited
MBECL,Mcnally Bharat Engineering Company Limited
WEALTH,Wealth First Portfolio Managers Limited
MARALOVER,Maral Overseas Limited
VIVIMEDLAB,Vivimed Labs Limited
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
DENORA,De Nora India Limited
ROML,Raj Oil Mills Limited
ELGIRUBCO,Elgi Rubber Company Limited
DANGEE,Dangee Dums Limited
WEBELSOLAR,Websol Energy System Limited
AAKASH,Aakash Exploration Services Limited
KAKATCEM,Kakatiya Cement Sugar & Industries Limited
UMANGDAIRY,Umang Dairies Limited
PRECOT,Precot Limited
CLEDUCATE,CL Educate Limited
RPPINFRA,R.P.P. Infra Projects Limited
JHS,JHS Svendgaard Laboratories Limited
JOCIL,Jocil Limited
PONNIERODE,Ponni Sugars (Erode) Limited
SIL,Standard Industries Limited
IITL,Industrial Investment Trust Limited
AUTOIND,Autoline Industries Limited
KILITCH,Kilitch Drugs (India) Limited
INDTERRAIN,Indian Terrain Fashions Limited
20MICRONS,20 Microns Limited
JMTAUTOLTD,JMT Auto Limited
SKMEGGPROD,SKM Egg Products Export (India) Limited
SEYAIND,Seya Industries Limited
MAHASTEEL,Mahamaya Steel Industries Limited
PASHUPATI,Pashupati Cotspin Limited
LOVABLE,Lovable Lingerie Limited
JBFIND,JBF Industries Limited
CREATIVE,Creative Peripherals and Distribution Limited
RUCHINFRA,Ruchi Infrastructure Limited
COMPINFO,Compuage Infocom Limited

TPLPLASTEH,TPL Plastech Limited
PENTAGOLD,Penta Gold Limited
IVC,IL&FS Investment Managers Limited
PODDARHOUS,Poddar Housing and Development Limited
AHLADA,Ahlada Engineers Limited
RAMASTEEL,Rama Steel Tubes Limited
TOUCHWOOD,Touchwood Entertainment Limited
RHFL,Reliance Home Finance Limited
VIPCLOTHNG,VIP Clothing Limited
ASIANHOTNR,Asian Hotels (North) Limited
SHYAMCENT,Shyam Century Ferrous Limited
BETA,Beta Drugs Limited
MGEL,Mangalam Global Enterprise Limited
MOLDTECH,Mold-Tek Technologies Limited
TCIDEVELOP,TCI Developers Limited
SHRENIK,Shrenik Limited
DRCSYSTEMS,DRC Systems India Limited
ALPHAGEO,Alphageo (India) Limited
SAKUMA,Sakuma Exports Limited
SAKHTISUG,Sakthi Sugars Limited
NOIDATOLL,Noida Toll Bridge Company Limited
NDRAUTO,Ndr Auto Components Limited
SMARTLINK,Smartlink Holdings Limited
HUBTOWN,Hubtown Limited
BPL,BPL Limited
FCSSOFT,FCS Software Solutions Limited
EMAMIREAL,Emami Realty Limited
DRSDILIP,DRS Dilip Roadlines Limited
PRIMESECU,Prime Securities Limited
UTTAMSTL,Uttam Galva Steels Limited
RAJMET,Rajnandini Metal Limited
DEEPENR,DEEP ENERGY RESOURCES LIMITED
SILVERTUC,Silver Touch Technologies Limited
KMSUGAR,K.M.Sugar Mills Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
MINDTECK,Mindteck (India) Limited
GRPLTD,GRP Limited
GPTINFRA,GPT Infraprojects Limited
DUCON,Ducon Infratechnologies Limited
PIONEEREMB,Pioneer Embroideries Limited

ICEMAKE,Ice Make Refrigeration Limited
MAANALU,Maan Aluminium Limited
KSOLVES,Ksolves India Limited
LSIL,Lloyds Steels Industries Limited
PRAXIS,Praxis Home Retail Limited
INNOVANA,Innovana Thinklabs Limited
PAVNAIND,Pavna Industries Limited
MURUDCERA,Murudeshwar Ceramics Limited
ARIES,Aries Agro Limited
IVP,IVP Limited
KAPSTON,Kapston Facilities Management Limited
ISFT,Intrasoft Technologies Limited
SOFTTECH,Softtech Engineers Limited
TEMBO,Tembo Global Industries Limited
TTL,T T Limited
RVHL,Ravinder Heights Limited
SPLIL,SPL Industries Limited
MOTOGENFIN,The Motor & General Finance Limited
ARROWGREEN,Arrow Greentech Limited
TRF,TRF Limited
GROBTEA,The Grob Tea Company Limited
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
ANSALAPI,Ansal Properties & Infrastructure Limited
PALREDTEC,Palred Technologies Limited
BHAGYAPROP,Bhagyanagar Properties Limited
RPPL,Rajshree Polypack Limited
INDOTECH,Indo Tech Transformers Limited
MACPOWER,Macpower CNC Machines Limited
PANSARI,Pansari Developers Limited
AMJLAND,Amj Land Holdings Limited
LGBFORGE,LGB Forge Limited
ADHUNIKIND,Adhunik Industries Limited
GSS,GSS Infotech Limited
SIGIND,Signet Industries Limited
CINELINE,Cineline India Limited
GILLANDERS,Gillanders Arbuthnot & Company Limited
OPTOCIRCUI,Opto Circuits (India) Limited
AKSHOPTFBR,Aksh Optifibre Limited
CORALFINAC,Coral India Finance & Housing Limited
OMAXAUTO,Omax Autos Limited

XPROINDIA,Xpro India Limited
SPECTRUM,Spectrum Electrical Industries Limited
LOTUSEYE,Lotus Eye Hospital and Institute Limited
JINDALPHOT,Jindal Photo Limited
OSIAHYPER,Osia Hyper Retail Limited
KERNEX,Kernex Microsystems (India) Limited
GTL,GTL Limited
KECL,Kirloskar Electric Company Limited
REMSONSIND,Remsons Industries Limited
GEEKAYWIRE,Geekay Wires Limited
URAVI,Uravi T and Wedge Lamps Limited
SVLL,Shree Vasu Logistics Limited
INDIANCARD,Indian Card Clothing Company Limited
ORIENTLTD,Orient Press Limited
MANAKCOAT,Manaksia Coated Metals & Industries Limited
ALMONDZ,Almondz Global Securities Limited
AARVI,Aarvi Encon Limited
INDOSOLAR,Indosolar Limited
PAR,Par Drugs and Chemicals Limited
BALPHARMA,Bal Pharma Limited
WORTH,Worth Peripherals Limited
ALPA,Alpa Laboratories Limited
ACCURACY,Accuracy Shipping Limited
WEIZMANIND,Weizmann Limited
VISASTEEL,Visa Steel Limited
HOVS,HOV Services Limited
LYKALABS,Lyka Labs Limited
SHIVAUM,Shiv Aum Steels Limited
PREMIERPOL,Premier Polyfilm Limited
SITINET,Siti Networks Limited
NDGL,Naga Dhunseri Group Limited
BYKE,The Byke Hospitality Ltd
